timestamp_ms,x,y,z,w,p,r
2025-06-19 15:24:36.657,158.04,29.14,97.80,180.00,-53.06,158.04
2025-06-19 15:24:36.790,158.04,29.14,97.80,180.00,-53.06,158.04
2025-06-19 15:24:36.923,158.08,29.13,97.82,180.00,-53.05,158.08
2025-06-19 15:24:37.054,158.44,28.99,98.06,180.00,-52.96,158.44
2025-06-19 15:24:37.187,158.76,28.86,98.27,180.00,-52.87,158.76
2025-06-19 15:24:37.320,159.17,28.69,98.54,180.00,-52.76,159.16
2025-06-19 15:24:37.452,160.26,28.29,99.21,180.00,-52.50,160.26
2025-06-19 15:24:37.584,160.89,28.07,99.58,180.00,-52.35,160.89
2025-06-19 15:24:37.716,161.52,27.85,99.93,180.00,-52.22,161.52
2025-06-19 15:24:37.849,162.80,27.44,100.60,180.00,-51.96,162.80
2025-06-19 15:24:37.982,163.45,27.25,100.91,180.00,-51.84,163.45
2025-06-19 15:24:38.114,164.10,27.07,101.21,180.00,-51.72,164.10
2025-06-19 15:24:38.246,165.43,26.72,101.78,180.00,-51.50,165.42
2025-06-19 15:24:38.381,166.09,26.56,102.04,180.00,-51.40,166.09
2025-06-19 15:24:38.516,166.76,26.41,102.29,180.00,-51.31,166.76
2025-06-19 15:24:38.645,168.12,26.12,102.75,180.00,-51.13,168.12
2025-06-19 15:24:38.776,168.80,25.99,102.96,180.00,-51.05,168.80
2025-06-19 15:24:38.918,169.49,25.87,103.16,180.00,-50.98,169.49
2025-06-19 15:24:39.052,170.87,25.64,103.52,180.00,-50.84,170.87
2025-06-19 15:24:39.176,171.57,25.54,103.68,180.00,-50.78,171.57
2025-06-19 15:24:39.306,172.27,25.45,103.83,180.00,-50.72,172.27
2025-06-19 15:24:39.439,173.68,25.29,104.08,180.00,-50.63,173.68
2025-06-19 15:24:39.571,174.39,25.22,104.19,180.00,-50.59,174.39
2025-06-19 15:24:39.712,175.10,25.16,104.29,180.00,-50.55,175.10
2025-06-19 15:24:39.835,176.53,25.07,104.44,180.00,-50.49,176.53
2025-06-19 15:24:39.977,177.25,25.03,104.49,180.00,-50.47,177.25
2025-06-19 15:24:40.100,177.97,25.01,104.53,180.00,-50.45,177.96
2025-06-19 15:24:40.233,179.41,24.97,104.58,180.00,-50.44,179.40
2025-06-19 15:24:40.364,180.13,24.97,104.59,180.00,-50.44,180.12
2025-06-19 15:24:40.504,180.85,24.97,104.59,180.00,-50.44,180.85
2025-06-19 15:24:40.630,182.29,25.01,104.53,180.00,-50.47,182.29
2025-06-19 15:24:40.762,183.01,25.04,104.48,180.00,-50.49,183.01
2025-06-19 15:24:40.895,183.74,25.08,104.41,180.00,-50.51,183.74
2025-06-19 15:24:41.028,184.46,25.13,104.33,180.00,-50.54,184.46
2025-06-19 15:24:41.160,185.89,25.25,104.14,180.00,-50.60,185.89
2025-06-19 15:24:41.302,186.61,25.32,104.03,180.00,-50.65,186.61
2025-06-19 15:24:41.426,187.30,25.40,103.91,180.00,-50.69,187.30
2025-06-19 15:24:41.559,188.38,25.54,103.69,180.00,-50.78,188.38
2025-06-19 15:24:41.691,188.76,25.59,103.61,180.00,-50.81,188.76
2025-06-19 15:24:41.823,189.04,25.63,103.54,180.00,-50.83,189.04
2025-06-19 15:24:41.956,189.27,25.66,103.49,180.00,-50.86,189.27
2025-06-19 15:24:42.089,189.27,25.66,103.48,180.00,-50.86,189.27
2025-06-19 15:24:42.220,189.27,25.66,103.48,180.00,-50.86,189.27
2025-06-19 15:24:42.353,189.35,25.67,103.47,180.00,-50.85,189.35
2025-06-19 15:24:42.491,189.53,25.69,103.44,180.00,-50.86,189.53
2025-06-19 15:24:42.625,189.82,25.73,103.39,180.00,-50.89,189.82
2025-06-19 15:24:42.749,190.71,25.84,103.22,180.00,-50.94,190.71
2025-06-19 15:24:42.883,191.32,25.93,103.09,180.00,-50.98,191.32
2025-06-19 15:24:43.025,192.00,26.04,102.93,180.00,-51.04,192.01
2025-06-19 15:24:43.147,193.41,26.28,102.56,180.00,-51.16,193.41
2025-06-19 15:24:43.282,194.11,26.41,102.36,180.00,-51.23,194.11
2025-06-19 15:24:43.412,194.80,26.55,102.14,180.00,-51.30,194.80
2025-06-19 15:24:43.545,196.09,26.84,101.71,180.00,-51.46,196.09
2025-06-19 15:24:43.677,196.60,26.95,101.52,180.00,-51.52,196.60
2025-06-19 15:24:43.813,197.00,27.05,101.37,180.00,-51.58,197.00
2025-06-19 15:24:43.942,197.50,27.18,101.18,180.00,-51.65,197.50
2025-06-19 15:24:44.074,197.59,27.20,101.14,180.00,-51.67,197.59
2025-06-19 15:24:44.214,197.61,27.21,101.13,180.00,-51.67,197.61
2025-06-19 15:24:44.339,197.61,27.21,101.13,180.00,-51.66,197.61
2025-06-19 15:24:44.471,197.61,27.25,101.15,180.00,-51.59,197.61
2025-06-19 15:24:44.604,197.61,27.38,101.22,180.00,-51.40,197.61
2025-06-19 15:24:44.744,197.60,27.86,101.48,180.00,-50.66,197.60
2025-06-19 15:24:44.869,197.60,28.22,101.66,180.00,-50.10,197.60
2025-06-19 15:24:45.002,197.60,28.68,101.88,180.00,-49.44,197.60
2025-06-19 15:24:45.134,197.60,29.76,102.35,180.00,-47.88,197.60
2025-06-19 15:24:45.267,197.60,30.33,102.58,180.00,-47.09,197.60
2025-06-19 15:24:45.399,197.60,30.91,102.78,180.00,-46.31,197.60
2025-06-19 15:24:45.537,197.60,32.08,103.16,180.00,-44.75,197.60
2025-06-19 15:24:45.664,197.60,32.68,103.33,180.00,-43.98,197.60
2025-06-19 15:24:45.796,197.60,33.29,103.49,180.00,-43.22,197.60
2025-06-19 15:24:45.929,197.60,33.91,103.63,180.00,-42.46,197.60
2025-06-19 15:24:46.061,197.60,35.17,103.88,180.00,-40.95,197.60
2025-06-19 15:24:46.193,197.60,35.81,103.99,180.00,-40.21,197.60
2025-06-19 15:24:46.326,197.60,36.46,104.08,180.00,-39.47,197.60
2025-06-19 15:24:46.459,197.60,37.77,104.22,180.00,-38.01,197.60
2025-06-19 15:24:46.591,197.60,38.44,104.27,180.00,-37.29,197.60
2025-06-19 15:24:46.726,197.60,39.11,104.31,180.00,-36.57,197.60
2025-06-19 15:24:46.858,197.60,40.49,104.36,180.00,-35.16,197.60
2025-06-19 15:24:46.994,197.60,41.18,104.36,180.00,-34.47,197.60
2025-06-19 15:24:47.123,197.60,41.88,104.35,180.00,-33.79,197.60
2025-06-19 15:24:47.253,197.60,43.29,104.29,180.00,-32.43,197.60
2025-06-19 15:24:47.385,197.60,44.01,104.23,180.00,-31.77,197.60
2025-06-19 15:24:47.519,197.60,44.73,104.16,180.00,-31.12,197.60
2025-06-19 15:24:47.656,197.60,46.18,103.99,180.00,-29.84,197.60
2025-06-19 15:24:47.784,197.60,46.84,103.90,180.00,-29.26,197.60
2025-06-19 15:24:47.920,197.60,47.41,103.81,180.00,-28.79,197.60
2025-06-19 15:24:48.049,197.60,48.21,103.67,180.00,-28.12,197.60
2025-06-19 15:24:48.180,197.60,48.44,103.63,180.00,-27.93,197.60
2025-06-19 15:24:48.327,197.60,48.56,103.60,180.00,-27.83,197.60
2025-06-19 15:24:48.446,197.60,48.59,103.59,180.00,-27.81,197.60
2025-06-19 15:24:48.581,197.60,48.59,103.59,180.00,-27.81,197.60
2025-06-19 15:24:48.713,197.60,48.59,103.59,180.00,-27.81,197.60
2025-06-19 15:24:48.847,197.60,48.59,103.60,180.00,-27.81,197.60
2025-06-19 15:24:48.977,197.60,48.59,103.60,180.00,-27.81,197.60
2025-06-19 15:24:49.117,197.60,48.59,103.60,180.00,-27.81,197.60
2025-06-19 15:24:49.242,197.60,48.59,103.60,180.00,-27.81,197.60
2025-06-19 15:24:49.384,197.60,48.59,103.60,180.00,-27.81,197.60
2025-06-19 15:24:49.515,197.60,48.59,103.60,180.00,-27.81,197.60
2025-06-19 15:24:49.647,197.60,48.59,103.60,180.00,-27.81,197.60
2025-06-19 15:24:49.780,197.60,48.59,103.60,180.00,-27.81,197.60
2025-06-19 15:24:49.918,197.60,48.59,103.60,180.00,-27.81,197.60
2025-06-19 15:24:50.045,197.60,48.59,103.60,180.00,-27.81,197.60
2025-06-19 15:24:50.178,197.60,48.59,103.60,180.00,-27.81,197.60
2025-06-19 15:24:50.314,197.60,48.59,103.60,180.00,-27.81,197.60
2025-06-19 15:24:50.446,197.60,48.59,103.60,180.00,-27.81,197.60
2025-06-19 15:24:50.575,197.60,48.59,103.60,180.00,-27.81,197.60
2025-06-19 15:24:50.713,197.60,48.59,103.60,180.00,-27.81,197.60
2025-06-19 15:24:50.840,197.60,48.34,103.65,180.00,-28.01,197.60
2025-06-19 15:24:50.973,197.60,48.04,103.70,180.00,-28.26,197.60
2025-06-19 15:24:51.118,197.60,47.64,103.77,180.00,-28.59,197.60
2025-06-19 15:24:51.239,197.60,46.49,103.96,180.00,-29.54,197.60
2025-06-19 15:24:51.370,197.60,45.79,104.06,180.00,-30.15,197.60
2025-06-19 15:24:51.518,197.60,45.05,104.15,180.00,-30.80,197.59
2025-06-19 15:24:51.636,197.59,43.61,104.29,180.00,-32.10,197.59
2025-06-19 15:24:51.767,197.59,42.89,104.34,180.00,-32.76,197.59
2025-06-19 15:24:51.899,197.59,42.19,104.38,180.00,-33.44,197.59
2025-06-19 15:24:52.033,197.58,40.78,104.42,180.00,-34.80,197.58
2025-06-19 15:24:52.164,197.58,40.09,104.42,180.00,-35.50,197.58
2025-06-19 15:24:52.296,197.58,39.40,104.41,180.00,-36.20,197.58
2025-06-19 15:24:52.429,197.58,38.72,104.38,180.00,-36.91,197.58
2025-06-19 15:24:52.570,197.58,37.38,104.28,180.00,-38.35,197.58
2025-06-19 15:24:52.698,197.57,36.72,104.21,180.00,-39.08,197.57
2025-06-19 15:24:52.826,197.57,36.06,104.13,180.00,-39.81,197.57
2025-06-19 15:24:52.959,197.57,34.78,103.93,180.00,-41.30,197.57
2025-06-19 15:24:53.108,197.57,34.14,103.81,180.00,-42.05,197.57
2025-06-19 15:24:53.227,197.57,33.52,103.68,180.00,-42.81,197.57
2025-06-19 15:24:53.356,197.56,32.29,103.37,180.00,-44.34,197.56
2025-06-19 15:24:53.490,197.56,31.69,103.20,180.00,-45.11,197.56
2025-06-19 15:24:53.657,197.56,31.10,103.02,180.00,-45.89,197.56
2025-06-19 15:24:53.753,197.56,29.94,102.61,180.00,-47.45,197.55
2025-06-19 15:24:53.886,197.55,29.38,102.38,180.00,-48.24,197.55
2025-06-19 15:24:54.019,197.55,28.82,102.15,180.00,-49.03,197.55
2025-06-19 15:24:54.150,197.55,27.90,101.72,180.00,-50.38,197.55
2025-06-19 15:24:54.283,197.55,27.57,101.55,180.00,-50.88,197.55
2025-06-19 15:24:54.418,197.55,27.31,101.42,180.00,-51.26,197.55
2025-06-19 15:24:54.554,197.55,27.05,101.28,180.00,-51.66,197.55
2025-06-19 15:24:54.680,197.55,27.03,101.27,180.00,-51.70,197.55
2025-06-19 15:24:54.821,197.55,27.03,101.27,180.00,-51.70,197.55
2025-06-19 15:24:54.951,197.51,27.02,101.27,180.00,-51.70,197.51
2025-06-19 15:24:55.087,197.37,26.99,101.33,180.00,-51.67,197.37
2025-06-19 15:24:55.215,197.13,26.94,101.41,180.00,-51.64,197.13
2025-06-19 15:24:55.342,196.35,26.76,101.69,180.00,-51.53,196.35
2025-06-19 15:24:55.475,195.80,26.65,101.88,180.00,-51.46,195.79
2025-06-19 15:24:55.621,195.15,26.53,102.09,180.00,-51.39,195.15
2025-06-19 15:24:55.741,193.75,26.28,102.49,180.00,-51.23,193.75
2025-06-19 15:24:55.875,193.05,26.17,102.67,180.00,-51.16,193.05
2025-06-19 15:24:56.005,192.35,26.07,102.84,180.00,-51.10,192.35
2025-06-19 15:24:56.138,190.93,25.88,103.13,180.00,-50.99,190.93
2025-06-19 15:24:56.270,190.23,25.80,103.26,180.00,-50.94,190.22
2025-06-19 15:24:56.403,189.51,25.73,103.38,180.00,-50.89,189.51
2025-06-19 15:24:56.541,188.09,25.61,103.57,180.00,-50.82,188.09
2025-06-19 15:24:56.667,187.38,25.56,103.65,180.00,-50.79,187.37
2025-06-19 15:24:56.805,186.66,25.52,103.71,180.00,-50.77,186.66
2025-06-19 15:24:56.932,185.23,25.47,103.80,180.00,-50.73,185.23
2025-06-19 15:24:57.067,184.51,25.45,103.82,180.00,-50.72,184.51
2025-06-19 15:24:57.198,183.80,25.44,103.84,180.00,-50.72,183.80
2025-06-19 15:24:57.329,182.37,25.44,103.83,180.00,-50.72,182.37
2025-06-19 15:24:57.462,181.66,25.46,103.80,180.00,-50.74,181.65
2025-06-19 15:24:57.595,180.94,25.49,103.76,180.00,-50.75,180.94
2025-06-19 15:24:57.727,180.24,25.52,103.71,180.00,-50.78,180.23
2025-06-19 15:24:57.863,178.82,25.62,103.55,180.00,-50.83,178.82
2025-06-19 15:24:57.992,178.11,25.68,103.46,180.00,-50.86,178.11
2025-06-19 15:24:58.126,177.41,25.75,103.35,180.00,-50.90,177.41
2025-06-19 15:24:58.258,176.01,25.90,103.10,180.00,-51.00,176.01
2025-06-19 15:24:58.390,175.31,25.99,102.95,180.00,-51.05,175.31
2025-06-19 15:24:58.525,174.62,26.09,102.80,180.00,-51.11,174.62
2025-06-19 15:24:58.655,173.25,26.31,102.44,180.00,-51.25,173.25
