robot_ts,x,y,z,w,p,r,cam0_frame,cam0_ts,cam1_frame,cam1_ts,cam0_path,cam1_path
2025-06-19 15:29:52.572,158.04,29.14,97.8,180.0,-53.06,158.04,1,2025-06-19 15:29:53.951,1,2025-06-19 15:29:53.922,D:\test_image\run17\frames_cam0\cam0_0001.png,D:\test_image\run17\frames_cam1\cam1_0001.png
2025-06-19 15:29:52.705,158.04,29.14,97.8,180.0,-53.06,158.04,1,2025-06-19 15:29:53.951,1,2025-06-19 15:29:53.922,D:\test_image\run17\frames_cam0\cam0_0001.png,D:\test_image\run17\frames_cam1\cam1_0001.png
2025-06-19 15:29:52.837,158.08,29.14,97.82,180.0,-53.05,158.08,1,2025-06-19 15:29:53.951,1,2025-06-19 15:29:53.922,D:\test_image\run17\frames_cam0\cam0_0001.png,D:\test_image\run17\frames_cam1\cam1_0001.png
2025-06-19 15:29:52.969,158.43,28.99,98.05,180.0,-52.96,158.43,1,2025-06-19 15:29:53.951,1,2025-06-19 15:29:53.922,D:\test_image\run17\frames_cam0\cam0_0001.png,D:\test_image\run17\frames_cam1\cam1_0001.png
2025-06-19 15:29:53.107,158.74,28.86,98.26,180.0,-52.88,158.74,1,2025-06-19 15:29:53.951,1,2025-06-19 15:29:53.922,D:\test_image\run17\frames_cam0\cam0_0001.png,D:\test_image\run17\frames_cam1\cam1_0001.png
2025-06-19 15:29:53.235,159.14,28.7,98.52,180.0,-52.77,159.14,1,2025-06-19 15:29:53.951,1,2025-06-19 15:29:53.922,D:\test_image\run17\frames_cam0\cam0_0001.png,D:\test_image\run17\frames_cam1\cam1_0001.png
2025-06-19 15:29:53.367,160.23,28.3,99.2,180.0,-52.5,160.23,1,2025-06-19 15:29:53.951,1,2025-06-19 15:29:53.922,D:\test_image\run17\frames_cam0\cam0_0001.png,D:\test_image\run17\frames_cam1\cam1_0001.png
2025-06-19 15:29:53.500,160.86,28.08,99.56,180.0,-52.36,160.86,1,2025-06-19 15:29:53.951,1,2025-06-19 15:29:53.922,D:\test_image\run17\frames_cam0\cam0_0001.png,D:\test_image\run17\frames_cam1\cam1_0001.png
2025-06-19 15:29:53.631,161.49,27.86,99.92,180.0,-52.22,161.49,1,2025-06-19 15:29:53.951,1,2025-06-19 15:29:53.922,D:\test_image\run17\frames_cam0\cam0_0001.png,D:\test_image\run17\frames_cam1\cam1_0001.png
2025-06-19 15:29:53.765,162.77,27.45,100.58,180.0,-51.97,162.77,1,2025-06-19 15:29:53.951,1,2025-06-19 15:29:53.922,D:\test_image\run17\frames_cam0\cam0_0001.png,D:\test_image\run17\frames_cam1\cam1_0001.png
2025-06-19 15:29:53.904,163.42,27.26,100.89,180.0,-51.84,163.42,1,2025-06-19 15:29:53.951,1,2025-06-19 15:29:53.922,D:\test_image\run17\frames_cam0\cam0_0001.png,D:\test_image\run17\frames_cam1\cam1_0001.png
2025-06-19 15:29:54.030,164.07,27.08,101.2,180.0,-51.73,164.07,2,2025-06-19 15:29:54.072,2,2025-06-19 15:29:54.023,D:\test_image\run17\frames_cam0\cam0_0002.png,D:\test_image\run17\frames_cam1\cam1_0002.png
2025-06-19 15:29:54.163,165.39,26.73,101.76,180.0,-51.51,165.39,3,2025-06-19 15:29:54.185,3,2025-06-19 15:29:54.112,D:\test_image\run17\frames_cam0\cam0_0003.png,D:\test_image\run17\frames_cam1\cam1_0003.png
2025-06-19 15:29:54.295,166.06,26.57,102.03,180.0,-51.41,166.06,4,2025-06-19 15:29:54.317,5,2025-06-19 15:29:54.321,D:\test_image\run17\frames_cam0\cam0_0004.png,D:\test_image\run17\frames_cam1\cam1_0005.png
2025-06-19 15:29:54.427,166.73,26.41,102.27,180.0,-51.31,166.73,5,2025-06-19 15:29:54.413,6,2025-06-19 15:29:54.417,D:\test_image\run17\frames_cam0\cam0_0005.png,D:\test_image\run17\frames_cam1\cam1_0006.png
2025-06-19 15:29:54.559,168.08,26.13,102.74,180.0,-51.14,168.08,6,2025-06-19 15:29:54.521,7,2025-06-19 15:29:54.523,D:\test_image\run17\frames_cam0\cam0_0006.png,D:\test_image\run17\frames_cam1\cam1_0007.png
2025-06-19 15:29:54.693,168.77,26.0,102.95,180.0,-51.05,168.77,7,2025-06-19 15:29:54.642,9,2025-06-19 15:29:54.720,D:\test_image\run17\frames_cam0\cam0_0007.png,D:\test_image\run17\frames_cam1\cam1_0009.png
2025-06-19 15:29:54.838,169.45,25.87,103.15,180.0,-50.98,169.45,9,2025-06-19 15:29:54.846,10,2025-06-19 15:29:54.811,D:\test_image\run17\frames_cam0\cam0_0009.png,D:\test_image\run17\frames_cam1\cam1_0010.png
2025-06-19 15:29:54.957,170.84,25.65,103.51,180.0,-50.84,170.84,10,2025-06-19 15:29:54.947,11,2025-06-19 15:29:54.910,D:\test_image\run17\frames_cam0\cam0_0010.png,D:\test_image\run17\frames_cam1\cam1_0011.png
2025-06-19 15:29:55.108,171.54,25.55,103.67,180.0,-50.78,171.54,11,2025-06-19 15:29:55.115,13,2025-06-19 15:29:55.115,D:\test_image\run17\frames_cam0\cam0_0011.png,D:\test_image\run17\frames_cam1\cam1_0013.png
2025-06-19 15:29:55.222,172.24,25.45,103.82,180.0,-50.73,172.24,12,2025-06-19 15:29:55.215,14,2025-06-19 15:29:55.216,D:\test_image\run17\frames_cam0\cam0_0012.png,D:\test_image\run17\frames_cam1\cam1_0014.png
2025-06-19 15:29:55.354,173.65,25.29,104.08,180.0,-50.63,173.65,13,2025-06-19 15:29:55.327,15,2025-06-19 15:29:55.323,D:\test_image\run17\frames_cam0\cam0_0013.png,D:\test_image\run17\frames_cam1\cam1_0015.png
2025-06-19 15:29:55.486,174.36,25.22,104.18,180.0,-50.59,174.36,14,2025-06-19 15:29:55.445,17,2025-06-19 15:29:55.510,D:\test_image\run17\frames_cam0\cam0_0014.png,D:\test_image\run17\frames_cam1\cam1_0017.png
2025-06-19 15:29:55.619,175.07,25.17,104.28,180.0,-50.55,175.07,16,2025-06-19 15:29:55.669,18,2025-06-19 15:29:55.611,D:\test_image\run17\frames_cam0\cam0_0016.png,D:\test_image\run17\frames_cam1\cam1_0018.png
2025-06-19 15:29:55.751,176.5,25.07,104.43,180.0,-50.5,176.5,17,2025-06-19 15:29:55.772,19,2025-06-19 15:29:55.715,D:\test_image\run17\frames_cam0\cam0_0017.png,D:\test_image\run17\frames_cam1\cam1_0019.png
2025-06-19 15:29:55.884,177.21,25.03,104.49,180.0,-50.47,177.21,18,2025-06-19 15:29:55.878,21,2025-06-19 15:29:55.913,D:\test_image\run17\frames_cam0\cam0_0018.png,D:\test_image\run17\frames_cam1\cam1_0021.png
2025-06-19 15:29:56.015,177.93,25.01,104.53,180.0,-50.45,177.93,19,2025-06-19 15:29:56.016,22,2025-06-19 15:29:56.016,D:\test_image\run17\frames_cam0\cam0_0019.png,D:\test_image\run17\frames_cam1\cam1_0022.png
2025-06-19 15:29:56.148,179.37,24.98,104.58,180.0,-50.44,179.37,20,2025-06-19 15:29:56.180,23,2025-06-19 15:29:56.115,D:\test_image\run17\frames_cam0\cam0_0020.png,D:\test_image\run17\frames_cam1\cam1_0023.png
2025-06-19 15:29:56.282,180.09,24.97,104.59,180.0,-50.44,180.09,21,2025-06-19 15:29:56.274,25,2025-06-19 15:29:56.311,D:\test_image\run17\frames_cam0\cam0_0021.png,D:\test_image\run17\frames_cam1\cam1_0025.png
2025-06-19 15:29:56.416,180.81,24.97,104.59,180.0,-50.44,180.81,22,2025-06-19 15:29:56.418,26,2025-06-19 15:29:56.420,D:\test_image\run17\frames_cam0\cam0_0022.png,D:\test_image\run17\frames_cam1\cam1_0026.png
2025-06-19 15:29:56.546,182.25,25.0,104.53,180.0,-50.47,182.26,23,2025-06-19 15:29:56.521,27,2025-06-19 15:29:56.521,D:\test_image\run17\frames_cam0\cam0_0023.png,D:\test_image\run17\frames_cam1\cam1_0027.png
2025-06-19 15:29:56.678,182.98,25.04,104.48,180.0,-50.48,182.98,24,2025-06-19 15:29:56.635,29,2025-06-19 15:29:56.710,D:\test_image\run17\frames_cam0\cam0_0024.png,D:\test_image\run17\frames_cam1\cam1_0029.png
2025-06-19 15:29:56.812,183.7,25.08,104.42,180.0,-50.51,183.7,25,2025-06-19 15:29:56.775,30,2025-06-19 15:29:56.811,D:\test_image\run17\frames_cam0\cam0_0025.png,D:\test_image\run17\frames_cam1\cam1_0030.png
2025-06-19 15:29:56.949,185.14,25.19,104.25,180.0,-50.57,185.14,26,2025-06-19 15:29:56.870,31,2025-06-19 15:29:56.951,D:\test_image\run17\frames_cam0\cam0_0026.png,D:\test_image\run17\frames_cam1\cam1_0031.png
2025-06-19 15:29:57.075,185.86,25.25,104.15,180.0,-50.6,185.86,27,2025-06-19 15:29:57.044,32,2025-06-19 15:29:57.046,D:\test_image\run17\frames_cam0\cam0_0027.png,D:\test_image\run17\frames_cam1\cam1_0032.png
2025-06-19 15:29:57.208,186.58,25.32,104.03,180.0,-50.65,186.58,29,2025-06-19 15:29:57.249,34,2025-06-19 15:29:57.212,D:\test_image\run17\frames_cam0\cam0_0029.png,D:\test_image\run17\frames_cam1\cam1_0034.png
2025-06-19 15:29:57.341,187.87,25.47,103.8,180.0,-50.73,187.87,30,2025-06-19 15:29:57.361,35,2025-06-19 15:29:57.311,D:\test_image\run17\frames_cam0\cam0_0030.png,D:\test_image\run17\frames_cam1\cam1_0035.png
2025-06-19 15:29:57.473,188.36,25.53,103.69,180.0,-50.77,188.36,31,2025-06-19 15:29:57.462,37,2025-06-19 15:29:57.520,D:\test_image\run17\frames_cam0\cam0_0031.png,D:\test_image\run17\frames_cam1\cam1_0037.png
2025-06-19 15:29:57.606,188.75,25.59,103.61,180.0,-50.81,188.75,32,2025-06-19 15:29:57.567,38,2025-06-19 15:29:57.610,D:\test_image\run17\frames_cam0\cam0_0032.png,D:\test_image\run17\frames_cam1\cam1_0038.png
2025-06-19 15:29:57.739,189.03,25.63,103.54,180.0,-50.83,189.03,34,2025-06-19 15:29:57.779,39,2025-06-19 15:29:57.712,D:\test_image\run17\frames_cam0\cam0_0034.png,D:\test_image\run17\frames_cam1\cam1_0039.png
2025-06-19 15:29:57.876,189.26,25.66,103.49,180.0,-50.86,189.26,35,2025-06-19 15:29:57.883,41,2025-06-19 15:29:57.911,D:\test_image\run17\frames_cam0\cam0_0035.png,D:\test_image\run17\frames_cam1\cam1_0041.png
2025-06-19 15:29:58.008,189.27,25.66,103.48,180.0,-50.86,189.27,36,2025-06-19 15:29:57.984,42,2025-06-19 15:29:58.019,D:\test_image\run17\frames_cam0\cam0_0036.png,D:\test_image\run17\frames_cam1\cam1_0042.png
2025-06-19 15:29:58.136,189.27,25.66,103.48,180.0,-50.86,189.27,37,2025-06-19 15:29:58.128,43,2025-06-19 15:29:58.129,D:\test_image\run17\frames_cam0\cam0_0037.png,D:\test_image\run17\frames_cam1\cam1_0043.png
2025-06-19 15:29:58.269,189.34,25.67,103.47,180.0,-50.85,189.34,38,2025-06-19 15:29:58.232,44,2025-06-19 15:29:58.224,D:\test_image\run17\frames_cam0\cam0_0038.png,D:\test_image\run17\frames_cam1\cam1_0044.png
2025-06-19 15:29:58.409,189.51,25.69,103.44,180.0,-50.86,189.52,40,2025-06-19 15:29:58.445,46,2025-06-19 15:29:58.417,D:\test_image\run17\frames_cam0\cam0_0040.png,D:\test_image\run17\frames_cam1\cam1_0046.png
2025-06-19 15:29:58.538,189.8,25.72,103.4,180.0,-50.88,189.8,41,2025-06-19 15:29:58.547,47,2025-06-19 15:29:58.510,D:\test_image\run17\frames_cam0\cam0_0041.png,D:\test_image\run17\frames_cam1\cam1_0047.png
2025-06-19 15:29:58.665,190.67,25.84,103.22,180.0,-50.94,190.68,42,2025-06-19 15:29:58.649,49,2025-06-19 15:29:58.710,D:\test_image\run17\frames_cam0\cam0_0042.png,D:\test_image\run17\frames_cam1\cam1_0049.png
2025-06-19 15:29:58.804,191.27,25.92,103.1,180.0,-50.98,191.27,43,2025-06-19 15:29:58.755,50,2025-06-19 15:29:58.813,D:\test_image\run17\frames_cam0\cam0_0043.png,D:\test_image\run17\frames_cam1\cam1_0050.png
2025-06-19 15:29:58.930,191.95,26.03,102.94,180.0,-51.03,191.96,45,2025-06-19 15:29:58.971,51,2025-06-19 15:29:58.912,D:\test_image\run17\frames_cam0\cam0_0045.png,D:\test_image\run17\frames_cam1\cam1_0051.png
2025-06-19 15:29:59.069,193.36,26.27,102.58,180.0,-51.15,193.36,46,2025-06-19 15:29:59.080,53,2025-06-19 15:29:59.116,D:\test_image\run17\frames_cam0\cam0_0046.png,D:\test_image\run17\frames_cam1\cam1_0053.png
2025-06-19 15:29:59.197,194.06,26.4,102.37,180.0,-51.22,194.06,47,2025-06-19 15:29:59.188,54,2025-06-19 15:29:59.228,D:\test_image\run17\frames_cam0\cam0_0047.png,D:\test_image\run17\frames_cam1\cam1_0054.png
2025-06-19 15:29:59.327,194.75,26.54,102.16,180.0,-51.3,194.75,48,2025-06-19 15:29:59.312,55,2025-06-19 15:29:59.316,D:\test_image\run17\frames_cam0\cam0_0048.png,D:\test_image\run17\frames_cam1\cam1_0055.png
2025-06-19 15:29:59.459,196.05,26.83,101.72,180.0,-51.45,196.05,49,2025-06-19 15:29:59.431,56,2025-06-19 15:29:59.431,D:\test_image\run17\frames_cam0\cam0_0049.png,D:\test_image\run17\frames_cam1\cam1_0056.png
2025-06-19 15:29:59.593,196.57,26.95,101.54,180.0,-51.52,196.57,51,2025-06-19 15:29:59.631,58,2025-06-19 15:29:59.627,D:\test_image\run17\frames_cam0\cam0_0051.png,D:\test_image\run17\frames_cam1\cam1_0058.png
2025-06-19 15:29:59.730,196.98,27.04,101.38,180.0,-51.57,196.98,52,2025-06-19 15:29:59.738,59,2025-06-19 15:29:59.712,D:\test_image\run17\frames_cam0\cam0_0052.png,D:\test_image\run17\frames_cam1\cam1_0059.png
2025-06-19 15:29:59.857,197.49,27.17,101.18,180.0,-51.65,197.49,53,2025-06-19 15:29:59.846,60,2025-06-19 15:29:59.811,D:\test_image\run17\frames_cam0\cam0_0053.png,D:\test_image\run17\frames_cam1\cam1_0060.png
2025-06-19 15:29:59.990,197.59,27.2,101.14,180.0,-51.67,197.58,54,2025-06-19 15:29:59.946,62,2025-06-19 15:30:00.014,D:\test_image\run17\frames_cam0\cam0_0054.png,D:\test_image\run17\frames_cam1\cam1_0062.png
2025-06-19 15:30:00.128,197.61,27.21,101.13,180.0,-51.67,197.61,56,2025-06-19 15:30:00.192,63,2025-06-19 15:30:00.123,D:\test_image\run17\frames_cam0\cam0_0056.png,D:\test_image\run17\frames_cam1\cam1_0063.png
2025-06-19 15:30:00.255,197.61,27.21,101.13,180.0,-51.67,197.61,56,2025-06-19 15:30:00.192,64,2025-06-19 15:30:00.220,D:\test_image\run17\frames_cam0\cam0_0056.png,D:\test_image\run17\frames_cam1\cam1_0064.png
2025-06-19 15:30:00.388,197.61,27.25,101.15,180.0,-51.6,197.61,58,2025-06-19 15:30:00.436,66,2025-06-19 15:30:00.433,D:\test_image\run17\frames_cam0\cam0_0058.png,D:\test_image\run17\frames_cam1\cam1_0066.png
2025-06-19 15:30:00.522,197.61,27.36,101.21,180.0,-51.42,197.61,59,2025-06-19 15:30:00.531,67,2025-06-19 15:30:00.527,D:\test_image\run17\frames_cam0\cam0_0059.png,D:\test_image\run17\frames_cam1\cam1_0067.png
2025-06-19 15:30:00.656,197.6,27.84,101.47,180.0,-50.69,197.6,60,2025-06-19 15:30:00.661,68,2025-06-19 15:30:00.615,D:\test_image\run17\frames_cam0\cam0_0060.png,D:\test_image\run17\frames_cam1\cam1_0068.png
2025-06-19 15:30:00.784,197.6,28.2,101.65,180.0,-50.15,197.6,61,2025-06-19 15:30:00.752,70,2025-06-19 15:30:00.811,D:\test_image\run17\frames_cam0\cam0_0061.png,D:\test_image\run17\frames_cam1\cam1_0070.png
