robot_ts,x,y,z,w,p,r,cam0_frame,cam0_ts,cam1_frame,cam1_ts,cam0_path,cam1_path
2025-06-18 15:13:54.306,-650.0,220.0,250.0,156.57,-180.0,-23.43,1,2025-06-18 15:13:55.899,1,2025-06-18 15:13:55.657,D:/test_image\frames_cam0\cam0_0001.png,D:/test_image\frames_cam1\cam1_0001.png
2025-06-18 15:13:54.433,-650.01,219.83,249.97,158.04,-180.0,-21.96,1,2025-06-18 15:13:55.899,1,2025-06-18 15:13:55.657,D:/test_image\frames_cam0\cam0_0001.png,D:/test_image\frames_cam1\cam1_0001.png
2025-06-18 15:13:54.561,-649.91,218.07,249.9,158.18,-179.99,-21.81,1,2025-06-18 15:13:55.899,1,2025-06-18 15:13:55.657,D:/test_image\frames_cam0\cam0_0001.png,D:/test_image\frames_cam1\cam1_0001.png
2025-06-18 15:13:54.687,-649.68,214.29,249.99,158.46,-180.0,-21.54,1,2025-06-18 15:13:55.899,1,2025-06-18 15:13:55.657,D:/test_image\frames_cam0\cam0_0001.png,D:/test_image\frames_cam1\cam1_0001.png
2025-06-18 15:13:54.814,-649.32,208.62,250.01,158.85,-180.0,-21.15,1,2025-06-18 15:13:55.899,1,2025-06-18 15:13:55.657,D:/test_image\frames_cam0\cam0_0001.png,D:/test_image\frames_cam1\cam1_0001.png
2025-06-18 15:13:54.942,-648.86,201.05,250.04,159.51,180.0,-20.48,1,2025-06-18 15:13:55.899,1,2025-06-18 15:13:55.657,D:/test_image\frames_cam0\cam0_0001.png,D:/test_image\frames_cam1\cam1_0001.png
2025-06-18 15:13:55.068,-648.3,191.61,250.02,160.25,180.0,-19.75,1,2025-06-18 15:13:55.899,1,2025-06-18 15:13:55.657,D:/test_image\frames_cam0\cam0_0001.png,D:/test_image\frames_cam1\cam1_0001.png
2025-06-18 15:13:55.195,-647.66,181.47,249.98,160.98,-180.0,-19.02,1,2025-06-18 15:13:55.899,1,2025-06-18 15:13:55.657,D:/test_image\frames_cam0\cam0_0001.png,D:/test_image\frames_cam1\cam1_0001.png
2025-06-18 15:13:55.322,-647.04,171.32,249.98,161.81,-180.0,-18.19,1,2025-06-18 15:13:55.899,1,2025-06-18 15:13:55.657,D:/test_image\frames_cam0\cam0_0001.png,D:/test_image\frames_cam1\cam1_0001.png
2025-06-18 15:13:55.449,-646.43,161.19,250.03,162.67,180.0,-17.33,1,2025-06-18 15:13:55.899,1,2025-06-18 15:13:55.657,D:/test_image\frames_cam0\cam0_0001.png,D:/test_image\frames_cam1\cam1_0001.png
2025-06-18 15:13:55.576,-645.81,151.05,250.02,163.49,180.0,-16.51,1,2025-06-18 15:13:55.899,1,2025-06-18 15:13:55.657,D:/test_image\frames_cam0\cam0_0001.png,D:/test_image\frames_cam1\cam1_0001.png
2025-06-18 15:13:55.703,-645.19,140.91,250.01,164.36,180.0,-15.64,1,2025-06-18 15:13:55.899,1,2025-06-18 15:13:55.657,D:/test_image\frames_cam0\cam0_0001.png,D:/test_image\frames_cam1\cam1_0001.png
2025-06-18 15:13:55.830,-644.57,130.78,250.01,165.21,180.0,-14.79,1,2025-06-18 15:13:55.899,3,2025-06-18 15:13:55.858,D:/test_image\frames_cam0\cam0_0001.png,D:/test_image\frames_cam1\cam1_0003.png
2025-06-18 15:13:55.970,-643.95,120.63,250.01,165.93,-180.0,-14.07,3,2025-06-18 15:13:55.973,4,2025-06-18 15:13:55.973,D:/test_image\frames_cam0\cam0_0003.png,D:/test_image\frames_cam1\cam1_0004.png
2025-06-18 15:13:56.084,-643.35,110.5,250.0,166.7,-180.0,-13.3,4,2025-06-18 15:13:56.032,5,2025-06-18 15:13:56.058,D:/test_image\frames_cam0\cam0_0004.png,D:/test_image\frames_cam1\cam1_0005.png
2025-06-18 15:13:56.212,-642.73,100.35,249.99,167.65,-180.0,-12.35,6,2025-06-18 15:13:56.259,7,2025-06-18 15:13:56.262,D:/test_image\frames_cam0\cam0_0006.png,D:/test_image\frames_cam1\cam1_0007.png
2025-06-18 15:13:56.348,-642.11,90.22,249.98,168.51,-180.0,-11.49,7,2025-06-18 15:13:56.377,8,2025-06-18 15:13:56.367,D:/test_image\frames_cam0\cam0_0007.png,D:/test_image\frames_cam1\cam1_0008.png
2025-06-18 15:13:56.467,-641.49,80.07,249.97,169.4,-180.0,-10.6,8,2025-06-18 15:13:56.488,9,2025-06-18 15:13:56.461,D:/test_image\frames_cam0\cam0_0008.png,D:/test_image\frames_cam1\cam1_0009.png
2025-06-18 15:13:56.598,-640.87,69.93,250.01,170.34,180.0,-9.66,9,2025-06-18 15:13:56.607,10,2025-06-18 15:13:56.560,D:/test_image\frames_cam0\cam0_0009.png,D:/test_image\frames_cam1\cam1_0010.png
2025-06-18 15:13:56.719,-640.25,59.78,250.01,171.28,180.0,-8.72,10,2025-06-18 15:13:56.707,12,2025-06-18 15:13:56.757,D:/test_image\frames_cam0\cam0_0010.png,D:/test_image\frames_cam1\cam1_0012.png
2025-06-18 15:13:56.852,-639.64,49.65,250.01,171.95,-180.0,-8.05,11,2025-06-18 15:13:56.808,13,2025-06-18 15:13:56.855,D:/test_image\frames_cam0\cam0_0011.png,D:/test_image\frames_cam1\cam1_0013.png
2025-06-18 15:13:56.973,-639.03,39.5,250.01,172.85,-180.0,-7.15,12,2025-06-18 15:13:56.917,14,2025-06-18 15:13:56.951,D:/test_image\frames_cam0\cam0_0012.png,D:/test_image\frames_cam1\cam1_0014.png
2025-06-18 15:13:57.100,-638.41,29.37,250.0,173.79,-180.0,-6.21,13,2025-06-18 15:13:57.050,15,2025-06-18 15:13:57.055,D:/test_image\frames_cam0\cam0_0013.png,D:/test_image\frames_cam1\cam1_0015.png
2025-06-18 15:13:57.228,-637.8,19.22,250.02,174.81,180.0,-5.19,15,2025-06-18 15:13:57.262,17,2025-06-18 15:13:57.263,D:/test_image\frames_cam0\cam0_0015.png,D:/test_image\frames_cam1\cam1_0017.png
2025-06-18 15:13:57.358,-637.19,9.09,250.02,175.71,180.0,-4.29,16,2025-06-18 15:13:57.374,18,2025-06-18 15:13:57.352,D:/test_image\frames_cam0\cam0_0016.png,D:/test_image\frames_cam1\cam1_0018.png
2025-06-18 15:13:57.483,-636.57,-1.05,249.99,176.65,180.0,-3.36,17,2025-06-18 15:13:57.480,19,2025-06-18 15:13:57.457,D:/test_image\frames_cam0\cam0_0017.png,D:/test_image\frames_cam1\cam1_0019.png
2025-06-18 15:13:57.608,-635.95,-11.19,250.01,177.5,179.99,-2.5,18,2025-06-18 15:13:57.629,20,2025-06-18 15:13:57.558,D:/test_image\frames_cam0\cam0_0018.png,D:/test_image\frames_cam1\cam1_0020.png
2025-06-18 15:13:57.748,-635.35,-21.34,250.01,178.41,179.99,-1.59,19,2025-06-18 15:13:57.735,22,2025-06-18 15:13:57.772,D:/test_image\frames_cam0\cam0_0019.png,D:/test_image\frames_cam1\cam1_0022.png
