timestamp_ms,x,y,z,w,p,r
2025-06-18 15:13:54.306,-650.00,220.00,250.00,156.57,-180.00,-23.43
2025-06-18 15:13:54.433,-650.01,219.83,249.97,158.04,-180.00,-21.96
2025-06-18 15:13:54.561,-649.91,218.07,249.90,158.18,-179.99,-21.81
2025-06-18 15:13:54.687,-649.68,214.29,249.99,158.46,-180.00,-21.54
2025-06-18 15:13:54.814,-649.32,208.62,250.01,158.85,-180.00,-21.15
2025-06-18 15:13:54.942,-648.86,201.05,250.04,159.51,180.00,-20.48
2025-06-18 15:13:55.068,-648.30,191.61,250.02,160.25,180.00,-19.75
2025-06-18 15:13:55.195,-647.66,181.47,249.98,160.98,-180.00,-19.02
2025-06-18 15:13:55.322,-647.04,171.32,249.98,161.81,-180.00,-18.19
2025-06-18 15:13:55.449,-646.43,161.19,250.03,162.67,180.00,-17.33
2025-06-18 15:13:55.576,-645.81,151.05,250.02,163.49,180.00,-16.51
2025-06-18 15:13:55.703,-645.19,140.91,250.01,164.36,180.00,-15.64
2025-06-18 15:13:55.830,-644.57,130.78,250.01,165.21,180.00,-14.79
2025-06-18 15:13:55.970,-643.95,120.63,250.01,165.93,-180.00,-14.07
2025-06-18 15:13:56.084,-643.35,110.50,250.00,166.70,-180.00,-13.30
2025-06-18 15:13:56.212,-642.73,100.35,249.99,167.65,-180.00,-12.35
2025-06-18 15:13:56.348,-642.11,90.22,249.98,168.51,-180.00,-11.49
2025-06-18 15:13:56.467,-641.49,80.07,249.97,169.40,-180.00,-10.60
2025-06-18 15:13:56.598,-640.87,69.93,250.01,170.34,180.00,-9.66
2025-06-18 15:13:56.719,-640.25,59.78,250.01,171.28,180.00,-8.72
2025-06-18 15:13:56.852,-639.64,49.65,250.01,171.95,-180.00,-8.05
2025-06-18 15:13:56.973,-639.03,39.50,250.01,172.85,-180.00,-7.15
2025-06-18 15:13:57.100,-638.41,29.37,250.00,173.79,-180.00,-6.21
2025-06-18 15:13:57.228,-637.80,19.22,250.02,174.81,180.00,-5.19
2025-06-18 15:13:57.358,-637.19,9.09,250.02,175.71,180.00,-4.29
2025-06-18 15:13:57.483,-636.57,-1.05,249.99,176.65,180.00,-3.36
2025-06-18 15:13:57.608,-635.95,-11.19,250.01,177.50,179.99,-2.50
2025-06-18 15:13:57.748,-635.35,-21.34,250.01,178.41,179.99,-1.59
2025-06-18 15:13:57.863,-634.71,-31.48,250.01,179.33,179.99,-0.67
2025-06-18 15:13:57.989,-634.05,-41.62,249.99,0.30,-180.00,-179.70
2025-06-18 15:13:58.121,-633.38,-51.75,250.05,1.16,-180.00,-178.84
2025-06-18 15:13:58.244,-632.77,-61.89,250.08,2.09,-180.00,-177.91
2025-06-18 15:13:58.370,-632.16,-72.03,250.01,2.98,179.99,-177.03
2025-06-18 15:13:58.510,-631.57,-82.17,249.98,3.89,179.99,-176.11
2025-06-18 15:13:58.624,-630.98,-92.30,249.98,4.80,180.00,-175.20
2025-06-18 15:13:58.753,-630.38,-102.45,250.00,0.02,180.00,-179.98
2025-06-18 15:13:58.878,-629.78,-112.58,249.99,6.51,180.00,-173.49
2025-06-18 15:13:59.005,-629.20,-122.14,249.99,7.27,180.00,-172.73
2025-06-18 15:13:59.132,-628.73,-129.92,249.99,8.01,180.00,-171.99
2025-06-18 15:13:59.262,-628.37,-135.77,249.98,8.65,180.00,-171.36
2025-06-18 15:13:59.386,-628.13,-139.69,250.01,9.00,180.00,-171.00
2025-06-18 15:13:59.513,-628.01,-141.67,249.97,9.23,179.99,-170.77
2025-06-18 15:13:59.649,-628.02,-142.05,250.00,9.25,180.00,-170.75
2025-06-18 15:13:59.773,-628.02,-142.05,250.00,9.25,180.00,-170.75
2025-06-18 15:13:59.906,-627.99,-142.24,250.01,9.22,180.00,-170.78
2025-06-18 15:14:00.033,-627.81,-144.05,250.01,9.46,-179.99,-170.54
2025-06-18 15:14:00.155,-627.38,-147.78,249.96,9.73,180.00,-170.26
2025-06-18 15:14:00.276,-626.78,-153.45,249.87,10.28,180.00,-169.72
2025-06-18 15:14:00.406,-625.98,-161.03,249.78,10.95,180.00,-169.05
2025-06-18 15:14:00.532,-625.00,-170.43,249.71,11.75,180.00,-168.25
2025-06-18 15:14:00.657,-623.95,-180.53,249.62,12.72,-180.00,-167.28
2025-06-18 15:14:00.790,-622.87,-190.62,249.49,13.38,180.00,-166.62
2025-06-18 15:14:00.911,-621.81,-200.74,249.40,14.61,-180.00,-165.39
2025-06-18 15:14:01.043,-620.75,-210.78,249.28,15.44,-180.00,-164.56
